, --,Nombre común,Clase,Otros_nombres,Nombre_cientifico,Familia,Fuente,,Estatus,,Codigo_Estatus,Origen,En Zarauz,
,56,Bifrenaria,Orquídea,,Bifrenaria aureofulva,Orchidaceae,Referencia,https://colombia.inaturalist.org/taxa/1007103-Bifrenaria-aureofulva,,,Cultivada,Brasil,,
,57,Boca de dragón,Hierba,,Antirrhinum majus ,Plantaginaceae,Referencia,https://colplanta.org/taxon/urn:lsid:ipni.org:names:799180-1,,,Cultivada,Europa,,
,58,Boj,Arbusto,"Buxus, siempreviva",Buxus microphylla,Buxaceae,Referencia,https://colombia.inaturalist.org/taxa/208757-Buxus-microphylla,,,Cultivada,Japón,,
,59,Boldo,"Hierba, aromática",Acetaminofén,Peunus boldus,Monimiaceae,Referencia,https://es.wikipedia.org/wiki/Peumus_boldus,,,Cultivada,Chile ,,
,60,Borrachero amarillo,Árbol,,Brugmansia suaveolens,Solanaceae,Referencia,https://colombia.inaturalist.org/taxa/189941-Brugmansia-aurea,,,Cultivada,Brasil,,
,61,Borrachero blanco,Árbol,Tihiqui,Brugmansia candida,Solanaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Brugmansia%20%C3%97%20candida%20Pers./data,,,Nativa,"Venezuela, Colombia, Ecuador",,
,62,Botón de oro,Arbusto,,Tithonia diversifolia,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/132451-Tithonia-diversifoliaa,,,Cultivada,Centroamérica,,
,63,Brevo,Arbusto,Higo,Ficus carica,Moraceae,Referencia,https://colombia.inaturalist.org/taxa/60218-Ficus-carica,,,Cultivada,"Asia menor, Mediterráneo",,
,64,Brillantina,Arbusto,Coprosma,Coprosma repens,Rubiaceae,Referencia,https://colombia.inaturalist.org/taxa/76435-Coprosma-repens,,,Cultivada,"Australia, Nueva Zelanda",,
,65,Brunisia,"Hierba, trepadora",,Brunnichia ovata,Polygonaceae,Referencia,https://ecuador.inaturalist.org/taxa/159495-Brunnichia-ovata,,,Cultivada,Estados Unidos,,
,66,Buganvil,"Arbusto, trepadora, liana","Veranera
Buganvilia",Bougainvillea glabra,Nyctaginaceae,Referencia,https://colombia.inaturalist.org/taxa/159346-Bougainvillea-glabra,,,Nativa,Suramérica,,
,67,Caballero de la noche,Arbusto,,Cestrum nocturnum,Solanaceae,Referencia,https://colombia.inaturalist.org/taxa/76225-Cestrum-nocturnum,,,Naturalizada,Subcosmopolita,,
,68,Cachimba,Hierba,Begonia real,Begonia heracleifolia,Begoniaceae,Referencia,https://www.naturalista.mx/taxa/179421-Begonia-heracleifolia,,,Cultivada,México y Centroamérica,,
,69,Café,Arbusto,,Coffea arabica,Rubiaceae,Referencia,https://es.wikipedia.org/wiki/Coffea_arabica,,,Cultivada,Etiopía,,
,70,Café de páramo,Arbusto,,Psychotria boqueronensis,Rubiaceae,Referencia,https://colombia.inaturalist.org/taxa/553044-Psychotria-boqueronensis,,,Endémica,Colombia-Andes,,
,71,Cajeto,Árbol,"Caregato
Garagay, Uruapo",Citharexylum subflavescens,Verbenaceae,Referencia,https://colombia.inaturalist.org/taxa/549205-Citharexylum-subflavescens,,,Nativa,"Colombia, Ecuador, Perú, Venezuela",,
,72,Calabaza,Hierba,Calabacita china,Benincasa hispida,Cucurbitaceae,Referencia,https://colombia.inaturalist.org/taxa/283076-Benincasa-hispida,,,Cultivada,China,,
,73,Calanchoe,Suculenta,Oreja de ratón,Kalanchoe blossfeldiana,Crassulaceae,Referencia,https://colombia.inaturalist.org/taxa/164326-Kalanchoe-blossfeldiana,,,Cultivada,Madagascar,,
,74,Calanchoe de Madagascar,Suculenta,,Kalanchoe fedtschenkoi,Crassulaceae,Referencia,https://colombia.inaturalist.org/taxa/164329-Kalanchoe-fedtschenkoi,,,Cultivada,Madagascar,,
,75,Calea,Arbusto,Pasto amargo,Calea zacatechichi,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Calea_zacatechichi,,,Cultivada,"México, Centroamérica",,
,76,Calistemo,Árbol,Eucalipto calistemo,Callistemon viminalis,"Myrtaceae,",Referencia,http://www.consultaplantas.com/index.php/es/plantas-por-nombre/plantas-de-la-a-a-la-c/1549-cuidados-de-la-planta-callistemon-viminalis-o-limpiatubos-lloron,,,Cultivada,Australia,,"C5
C4
L"
,77,Calistemo rojo,Arbusto,,Melaleuca citrina,Myrtaceae,Referencia,https://en.wikipedia.org/wiki/Melaleuca_citrina,,,Cultivada,Australia,,
,78,Camándula,Hierba,,Curio rowleyanus,Asteraceae,Referencia,https://sembramos.com.co/planta-camandula-bolitas-colgantes.html,,,Cultivada,África,,
,79,Camelia,Arbusto,,Camellia japonica,Theaceae,Referencia,https://colombia.inaturalist.org/taxa/83056-Camellia-japonica,,,Cultivada,E Asia,,
,80,Campanas de catedral,Hierba,Campana morada,Cobaea scandens,Poaceae,Referencia,https://colombia.inaturalist.org/guide_taxa/1035055,,,Cultivada,México,,
,81,Campanita rosa,Hierba,Cantaritos,Penstemon hartwegii,Plantaginaceae,Referencia,https://colombia.inaturalist.org/taxa/282931-Penstemon-hartwegii/browse_photos,,,Cultivada,México,,
,82,Cananga,Arbusto ,,Lonicera japonica,Caprifoliaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Lonicera%20japonica%20Thunb./data,,,Cultivada,"China, Japón",,
,83,Canelón,Hierba,Canelo,Peperomia subspathulata Yunck.,Piperaceae,Referencia,https://colombia.inaturalist.org/taxa/548698-Peperomia-subspathulata,,,Nativa,Andes,,
,84,Cansabrazos,Arbusto,,Galianthe bogotensis,Rubiaceae,Referencia,https://ecuador.inaturalist.org/taxa/548158-Galianthe-bogotensis/browse_photos,,,Endémica,Colombia - Andes,,S4
,85,Cantio,Arbusto,,Canthium spinosum,Rubiaceae,Referencia,https://colombia.inaturalist.org/taxa/581727-Canthium-spinosum,,,Cultivada,Suráfrica,,
,86,Cantueso,Arbusto,"Cantueso largo
Lavanda",Lavandula stoechas,Lamiaceae,Referencia,https://es.wikipedia.org/wiki/Lavandula_stoechas,,,Cultivada,Mediterráneo,,
,87,Caracola,Hierba,"Iresine
Púrpura peruana",Iresine herbstii,Amaranthaceae,Referencia,https://colombia.inaturalist.org/taxa/914138-Iresine-diffusa-herbstii,,,Cultivada,Pantropical,,
,88,Carbonero rojo,Arbusto,,Calliandra haematocephala ,Fabaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Calliandra%20haematocephala%20Hassk./data,,,Cultivada,Bolivia,,
,89,Carretón,Hierba,"Trébol
Trébol blanco",Trifolium repens,Fabaceae,Referencia,https://colombia.inaturalist.org/taxa/55745-Trifolium-repens,,,Cultivada,"Europa, África",,
,90,Carretón rosado,Hierba,"Trébol rojo
Trébol violeta",Trifolium pratense,Fabaceae,Referencia,https://colombia.inaturalist.org/taxa/51875-Trifolium-pratense,,,Cultivada,Eurasia,,
,91,Cartucho,Hierba,,Zantedeschia aethiopica,Araceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Zantedeschia%20aethiopica%20(L.)%20Spreng./data,,,Cultivada,Suráfrica,,
,92,Caucho del Tequendama,Árbol,,Ficus tequendamae,Moraceae,Referencia,https://www.gbif.org/es/species/5569602,,,Endémica,Colombia,,
,93,Caucho sabanero,Árbol,,Ficus soatensis,Moraceae,Referencia,https://www.reddearboles.org/ficha-tecnica/nwcproduct/818/arbol-nativo-caucho-sabanero,,,Nativa,Andes,,
,94,Caucho variegado,Árbol,,Ficus elastica Ruby,Moraceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Ficus%20elastica%20Roxb.%20ex%20Hornem./data,,,Cultivada,Asia,,
,95,Cayeno,Arbusto,,Hibiscus rosa-sinensis,Malvaceae,Referencia,https://colombia.inaturalist.org/taxa/62876-Hibiscus-rosa-sinensis,,,Cultivada,E Asia,,
,96,Cebolla larga,Hierba,,Allium fistolosum,Amaryllidaceae,Referencia,https://colombia.inaturalist.org/taxa/126225-Allium-fistulosum,,,Cultivada,Asia,,
,97,Cedro,Árbol,Cedro de montaña,Cedrela bogotensis Triana,Meliaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/254,,,Nativa y amenazada,"Colombia, Venezuela, Perú",,
,98,Centavito,Hierba,,Dichondra repens,Convolvulaceae,Referencia,https://colombia.inaturalist.org/taxa/161824-Dichondra-repens,,,Nativa,Andes,,
,99,Centella,Hierba,,Centella asiática,Apiaceae,Referencia,https://colombia.inaturalist.org/taxa/156991-Centella,,,Nativa,Andes,,
